,eightd_has_available_keys,num_ebikes_available,station_id,is_returning,is_installed,is_renting,last_reported,num_docks_available,legacy_id,num_docks_disabled,station_status,num_bikes_disabled,num_bikes_available,starttime,timestamp,demand,supply
0,False,1,72,1,1,1,1605059902,44,72,0,active,3,8,1605060000,1605060000,1,0
1,False,1,79,1,1,1,1605059856,10,79,0,active,1,22,1605060000,1605060000,0,0
2,False,2,82,1,1,1,1605059964,1,82,0,active,0,26,1605060000,1605060000,1,0
3,False,0,83,1,1,1,1605059685,0,83,40,active,22,0,1605060000,1605060000,0,0
4,False,0,116,0,0,0,86400,0,116,0,out_of_service,0,0,1605060000,1605060000,0,0
5,False,2,119,1,1,1,1605057261,9,119,0,active,1,43,1605060000,1605060000,1,0
6,False,2,120,1,1,1,1605059962,11,120,0,active,1,7,1605060000,1605060000,0,1
7,False,0,127,1,1,1,1605059110,2,127,0,active,2,27,1605060000,1605060000,0,1
8,False,1,128,1,1,1,1605059993,27,128,0,active,2,27,1605060000,1605060000,4,0
9,False,0,143,1,1,1,1605059312,17,143,0,active,2,5,1605060000,1605060000,0,0
10,False,0,144,1,1,1,1605051328,11,144,0,active,1,46,1605060000,1605060000,0,0
11,False,1,146,1,1,1,1605059193,4,146,0,active,0,35,1605060000,1605060000,0,3
12,False,2,150,1,1,1,1605059781,35,150,0,active,3,17,1605060000,1605060000,8,0
13,True,1,151,1,1,1,1605059686,3,151,0,active,6,24,1605060000,1605060000,0,12
14,False,0,152,1,1,1,1605059320,2,152,0,active,0,47,1605060000,1605060000,1,0
15,False,1,157,1,1,1,1605057737,2,157,0,active,1,20,1605060000,1605060000,0,0
16,False,1,161,1,1,1,1605059827,6,161,0,active,6,23,1605060000,1605060000,0,9
17,False,0,164,1,1,1,1605059827,37,164,0,active,5,5,1605060000,1605060000,4,0
18,False,0,168,1,1,1,1605059990,25,168,0,active,2,20,1605060000,1605060000,2,0
19,False,1,173,1,1,1,1605059980,38,173,0,active,0,32,1605060000,1605060000,0,11
20,False,2,174,1,1,1,1605059954,31,174,0,active,0,4,1605060000,1605060000,8,0
21,False,3,212,1,1,1,1605058474,4,212,0,active,3,53,1605060000,1605060000,0,2
22,False,0,216,1,1,1,1605058303,36,216,0,active,1,0,1605060000,1605060000,0,0
23,False,0,217,1,1,1,1605059194,9,217,0,active,2,28,1605060000,1605060000,0,3
24,False,0,223,1,1,1,1605059794,2,223,0,active,4,27,1605060000,1605060000,1,0
25,True,0,224,1,1,1,1605059976,25,224,0,active,1,4,1605060000,1605060000,2,0
26,False,0,228,1,1,1,1605057037,54,228,0,active,1,0,1605060000,1605060000,1,0
27,False,0,229,1,1,1,1605059540,6,229,0,active,3,14,1605060000,1605060000,0,1
28,False,0,236,1,1,1,86400,0,236,0,active,0,0,1605060000,1605060000,0,0
29,False,0,237,1,1,1,1605059923,10,237,0,active,4,25,1605060000,1605060000,0,4
30,False,1,238,1,1,1,1605058264,1,238,0,active,6,24,1605060000,1605060000,0,2
31,False,0,239,1,1,1,1605057708,12,239,0,active,1,18,1605060000,1605060000,1,0
32,False,3,241,1,1,1,1605059304,7,241,0,active,3,13,1605060000,1605060000,0,4
33,False,0,242,1,1,1,1605056582,15,242,0,active,1,30,1605060000,1605060000,1,0
34,False,1,244,1,1,1,1605058546,21,244,0,active,5,5,1605060000,1605060000,2,0
35,False,1,245,1,1,1,1605059934,3,245,0,active,0,20,1605060000,1605060000,0,1
36,False,1,247,1,1,1,1605059567,0,247,0,active,6,49,1605060000,1605060000,0,0
37,False,1,248,1,1,1,1605058687,9,248,0,active,2,88,1605060000,1605060000,0,1
38,False,0,249,1,1,1,1605059621,2,249,0,active,1,24,1605060000,1605060000,0,1
