,legacy_id,eightd_has_available_keys,num_bikes_disabled,last_reported,is_renting,num_docks_available,num_bikes_available,station_id,station_status,num_docks_disabled,is_returning,is_installed,num_ebikes_available,eightd_active_station_services,valet,starttime,timestamp,demand,supply
0,72,False,2,1605207579,1,41,12,72,active,0,1,1,0,,,1605207595,1605207595,1,0
1,79,False,1,1605205567,1,0,32,79,active,0,1,1,2,,,1605207595,1605207595,0,1
2,82,False,0,1605204460,1,0,27,82,active,0,1,1,5,,,1605207595,1605207595,0,0
3,83,False,0,1605205827,1,25,37,83,active,0,1,1,0,,,1605207595,1605207595,3,0
4,116,False,0,86400,0,0,0,116,out_of_service,0,0,0,0,,,1605207595,1605207595,0,0
5,119,False,2,1605207264,1,9,42,119,active,0,1,1,1,,,1605207595,1605207595,0,0
6,120,False,0,1605204157,1,18,1,120,active,0,1,1,0,,,1605207595,1605207595,2,0
7,127,False,0,1605207492,1,20,11,127,active,0,1,1,3,,,1605207595,1605207595,1,0
8,128,False,2,1605207460,1,14,40,128,active,0,1,1,0,,,1605207595,1605207595,1,0
9,143,False,0,1605207150,1,16,8,143,active,0,1,1,0,,,1605207595,1605207595,1,0
10,144,False,1,1605206529,1,0,57,144,active,0,1,1,1,,,1605207595,1605207595,0,0
11,146,False,0,1605206578,1,16,23,146,active,0,1,1,0,,,1605207595,1605207595,1,0
12,150,False,1,1605206915,1,36,18,150,active,0,1,1,0,,,1605207595,1605207595,0,4
13,151,True,3,1605207393,1,0,30,151,active,0,1,1,5,,,1605207595,1605207595,0,4
14,152,False,1,1605207273,1,3,45,152,active,0,1,1,0,,,1605207595,1605207595,0,4
15,157,False,1,1605206615,1,20,2,157,active,0,1,1,0,,,1605207595,1605207595,4,0
16,161,False,1,1605207509,1,24,10,161,active,0,1,1,1,,,1605207595,1605207595,4,0
17,164,False,1,1605207440,1,24,22,164,active,0,1,1,4,,,1605207595,1605207595,0,2
18,168,False,1,1605206633,1,0,46,168,active,0,1,1,5,,,1605207595,1605207595,0,3
19,173,False,0,1605207586,1,8,62,173,active,0,1,1,2,,,1605207595,1605207595,0,3
20,174,False,0,1605207214,1,19,16,174,active,0,1,1,3,,,1605207595,1605207595,0,3
21,212,False,2,1605207152,1,0,58,212,active,0,1,1,4,,,1605207595,1605207595,0,1
22,216,False,1,1605207250,1,27,9,216,active,0,1,1,0,,,1605207595,1605207595,0,1
23,217,False,1,1605206651,1,3,35,217,active,0,1,1,3,,,1605207595,1605207595,2,0
24,223,False,3,1605207018,1,2,28,223,active,0,1,1,0,,,1605207595,1605207595,1,0
25,224,True,0,1605205557,1,25,5,224,active,0,1,1,0,,,1605207595,1605207595,0,2
26,228,False,4,1605207230,1,2,48,228,active,1,1,1,10,,,1605207595,1605207595,0,6
27,229,False,1,1605207318,1,5,17,229,active,0,1,1,6,,,1605207595,1605207595,2,0
28,236,False,0,86400,1,0,0,236,active,0,1,1,0,,,1605207595,1605207595,0,0
29,237,False,2,1605207509,1,24,13,237,active,0,1,1,2,,,1605207595,1605207595,0,4
