,num_ebikes_available,is_renting,last_reported,num_bikes_disabled,eightd_has_available_keys,is_installed,station_status,num_bikes_available,num_docks_disabled,station_id,num_docks_available,is_returning,legacy_id,valet,eightd_active_station_services,starttime,timestamp,demand,supply
0,1,1,1605095767,3,False,1,active,12,0,72,40,1,72,,,1605096005,1605096005,2,0
1,1,1,1605095236,0,False,1,active,27,0,79,6,1,79,,,1605096005,1605096005,2,0
2,0,1,1605095760,0,False,1,active,25,0,82,2,1,82,,,1605096005,1605096005,0,1
3,0,1,1605095262,1,False,1,active,28,0,83,33,1,83,,,1605096005,1605096005,1,0
4,0,0,86400,0,False,0,out_of_service,0,0,116,0,0,116,,,1605096005,1605096005,0,0
5,0,1,1605094480,1,False,1,active,45,0,119,7,1,119,,,1605096005,1605096005,0,1
6,3,1,1605094501,0,False,1,active,15,0,120,4,1,120,,,1605096005,1605096005,0,5
7,0,1,1605095954,0,False,1,active,25,0,127,6,1,127,,,1605096005,1605096005,0,0
8,1,1,1605095558,1,False,1,active,31,0,128,24,1,128,,,1605096005,1605096005,0,3
9,0,1,1605095668,0,False,1,active,8,0,143,16,1,143,,,1605096005,1605096005,1,0
10,2,1,1605084916,2,False,1,active,51,0,144,5,1,144,,,1605096005,1605096005,0,1
11,0,1,1605094080,0,False,1,active,34,0,146,5,1,146,,,1605096005,1605096005,0,1
12,0,1,1605094790,0,False,1,active,35,0,150,20,1,150,,,1605096005,1605096005,0,2
13,0,1,1605095796,5,True,1,active,6,0,151,22,1,151,,,1605096005,1605096005,0,1
14,0,1,1605087328,0,False,1,active,45,0,152,4,1,152,,,1605096005,1605096005,1,0
15,1,1,1605095857,1,False,1,active,20,0,157,2,1,157,,,1605096005,1605096005,0,9
16,3,1,1605095601,2,False,1,active,17,0,161,16,1,161,,,1605096005,1605096005,0,3
17,0,1,1605095764,0,False,1,active,3,0,164,44,1,164,,,1605096005,1605096005,1,0
18,1,1,1605095728,0,False,1,active,22,0,168,25,1,168,,,1605096005,1605096005,0,0
19,1,1,1605095954,1,False,1,active,21,0,173,48,1,173,,,1605096005,1605096005,16,0
20,0,1,1605095991,0,False,1,active,14,0,174,21,1,174,,,1605096005,1605096005,6,0
21,2,1,1605095685,1,False,1,active,51,0,212,8,1,212,,,1605096005,1605096005,1,0
22,1,1,1605075269,1,False,1,active,3,0,216,33,1,216,,,1605096005,1605096005,0,0
23,3,1,1605095606,1,False,1,active,26,0,217,12,1,217,,,1605096005,1605096005,4,0
24,0,1,1605095944,5,False,1,active,24,0,223,4,1,223,,,1605096005,1605096005,2,0
25,1,1,1605095417,0,True,1,active,2,0,224,28,1,224,,,1605096005,1605096005,1,0
26,1,1,1605094041,0,False,1,active,1,0,228,54,1,228,,,1605096005,1605096005,0,1
27,1,1,1605095694,3,False,1,active,10,0,229,10,1,229,,,1605096005,1605096005,1,0
28,0,1,86400,0,False,1,active,0,0,236,0,1,236,,,1605096005,1605096005,0,0
29,2,1,1605094900,1,False,1,active,23,0,237,15,1,237,,,1605096005,1605096005,0,5
30,5,1,1605095459,0,False,1,active,28,0,238,3,1,238,,,1605096005,1605096005,0,6
31,0,1,1605095394,0,False,1,active,22,0,239,9,1,239,,,1605096005,1605096005,0,1
32,0,1,1605095767,1,False,1,active,9,0,241,13,1,241,,,1605096005,1605096005,4,0
33,0,1,1605092492,1,False,1,active,31,0,242,14,1,242,,,1605096005,1605096005,2,0
