,num_docks_available,is_returning,num_docks_disabled,num_bikes_available,last_reported,is_renting,eightd_has_available_keys,station_status,num_ebikes_available,legacy_id,is_installed,num_bikes_disabled,station_id,valet,eightd_active_station_services,starttime,timestamp,demand,supply
0,27,1,0,27,1605254071,1,False,active,2,72,1,1,72,,,1605258000,1605258000,1,0
1,6,1,0,27,1605250622,1,False,active,0,79,1,0,79,,,1605258000,1605258000,0,0
2,1,1,0,26,1605249415,1,False,active,2,82,1,0,82,,,1605258000,1605258000,0,0
3,23,1,0,39,1605248209,1,False,active,0,83,1,0,83,,,1605258000,1605258000,0,0
4,0,0,0,0,86400,0,False,out_of_service,0,116,0,0,116,,,1605258000,1605258000,0,0
5,9,1,0,44,1605250957,1,False,active,0,119,1,0,119,,,1605258000,1605258000,0,0
6,13,1,0,6,1605252902,1,False,active,1,120,1,0,120,,,1605258000,1605258000,0,0
7,1,1,0,30,1605249417,1,False,active,1,127,1,0,127,,,1605258000,1605258000,0,0
8,15,1,0,41,1605257760,1,False,active,3,128,1,0,128,,,1605258000,1605258000,0,0
9,19,1,0,4,1605250048,1,False,active,1,143,1,1,143,,,1605258000,1605258000,0,0
10,1,1,0,56,1605257860,1,False,active,0,144,1,1,144,,,1605258000,1605258000,0,0
11,8,1,0,31,1605252027,1,False,active,1,146,1,0,146,,,1605258000,1605258000,0,0
12,26,1,0,29,1605249416,1,False,active,3,150,1,0,150,,,1605258000,1605258000,0,0
13,21,1,0,10,1605253784,1,True,active,0,151,1,2,151,,,1605258000,1605258000,0,0
14,6,1,0,42,1605247858,1,False,active,0,152,1,1,152,,,1605258000,1605258000,0,0
15,10,1,0,13,1605248209,1,False,active,2,157,1,0,157,,,1605258000,1605258000,0,0
16,17,1,0,17,1605251100,1,False,active,1,161,1,1,161,,,1605258000,1605258000,0,0
17,31,1,0,15,1605253034,1,False,active,2,164,1,1,164,,,1605258000,1605258000,0,0
18,18,1,0,29,1605250622,1,False,active,1,168,1,0,168,,,1605258000,1605258000,0,1
19,37,1,0,33,1605253463,1,False,active,0,173,1,0,173,,,1605258000,1605258000,0,0
20,18,1,0,17,1605251734,1,False,active,2,174,1,0,174,,,1605258000,1605258000,0,0
21,8,1,0,50,1605250623,1,False,active,0,212,1,2,212,,,1605258000,1605258000,0,1
22,21,1,0,16,1605248210,1,False,active,6,216,1,0,216,,,1605258000,1605258000,0,0
23,7,1,0,31,1605248210,1,False,active,1,217,1,1,217,,,1605258000,1605258000,0,0
24,8,1,0,24,1605257498,1,False,active,4,223,1,1,223,,,1605258000,1605258000,0,0
25,26,1,0,4,1605248303,1,True,active,0,224,1,0,224,,,1605258000,1605258000,0,0
26,22,1,2,31,1605250946,1,False,active,1,228,1,0,228,,,1605258000,1605258000,2,0
27,15,1,0,7,1605249416,1,False,active,0,229,1,1,229,,,1605258000,1605258000,0,0
28,0,1,0,0,86400,1,False,active,0,236,1,0,236,,,1605258000,1605258000,0,0
29,23,1,0,16,1605251287,1,False,active,1,237,1,0,237,,,1605258000,1605258000,0,0
30,9,1,0,22,1605250622,1,False,active,3,238,1,0,238,,,1605258000,1605258000,0,0
31,15,1,0,15,1605248210,1,False,active,0,239,1,1,239,,,1605258000,1605258000,0,0
32,10,1,0,12,1605248209,1,False,active,0,241,1,1,241,,,1605258000,1605258000,0,0
33,9,1,0,37,1605248209,1,False,active,0,242,1,0,242,,,1605258000,1605258000,0,0
34,25,1,0,3,1605248209,1,False,active,1,244,1,3,244,,,1605258000,1605258000,0,0
35,16,1,0,7,1605250622,1,False,active,0,245,1,0,245,,,1605258000,1605258000,0,0
36,16,1,0,38,1605256653,1,False,active,3,247,1,1,247,,,1605258000,1605258000,0,0
37,14,1,0,85,1605249415,1,False,active,0,248,1,0,248,,,1605258000,1605258000,0,0
38,8,1,0,19,1605250622,1,False,active,0,249,1,0,249,,,1605258000,1605258000,1,0
39,15,1,0,24,1605255790,1,False,active,0,250,1,1,250,,,1605258000,1605258000,0,0
40,5,1,0,21,1605254531,1,False,active,1,251,1,1,251,,,1605258000,1605258000,0,0
41,3,1,0,30,1605257651,1,False,active,2,252,1,0,252,,,1605258000,1605258000,0,0
42,8,1,0,36,1605249416,1,False,active,13,254,1,3,254,,,1605258000,1605258000,0,0
43,13,1,0,26,1605250622,1,False,active,0,257,1,0,257,,,1605258000,1605258000,0,0
44,17,1,0,4,1605248324,1,False,active,0,258,1,2,258,,,1605258000,1605258000,0,0
45,5,1,0,34,1605254531,1,False,active,0,259,1,0,259,,,1605258000,1605258000,0,0
46,16,1,0,16,1605251922,1,False,active,0,260,1,1,260,,,1605258000,1605258000,0,0
47,19,1,0,22,1605249480,1,False,active,1,261,1,0,261,,,1605258000,1605258000,0,0
48,16,1,0,7,1605248209,1,False,active,0,262,1,1,262,,,1605258000,1605258000,0,0
49,6,1,0,21,1605256032,1,False,active,1,264,1,0,264,,,1605258000,1605258000,0,0
50,18,1,0,17,1605254300,1,False,active,0,265,1,0,265,,,1605258000,1605258000,0,0
51,45,1,0,23,1605250621,1,False,active,0,267,1,2,267,,,1605258000,1605258000,0,0
52,7,1,0,20,1605250622,1,False,active,0,268,1,0,268,,,1605258000,1605258000,0,0
53,20,1,0,3,1605250623,1,False,active,1,270,1,0,270,,,1605258000,1605258000,0,0
54,20,1,0,11,1605252471,1,False,active,2,274,1,0,274,,,1605258000,1605258000,0,0
55,16,1,0,3,1605248209,1,False,active,0,275,1,0,275,,,1605258000,1605258000,0,0
56,22,1,0,3,1605249688,1,False,active,1,276,1,0,276,,,1605258000,1605258000,0,1
57,10,1,0,9,1605248209,1,False,active,0,278,1,0,278,,,1605258000,1605258000,0,0
58,0,0,0,0,86400,0,False,out_of_service,0,280,0,0,280,,,1605258000,1605258000,0,0
59,35,1,0,30,1605249416,1,True,active,0,281,1,1,281,,,1605258000,1605258000,0,1
60,13,1,0,14,1605251661,1,False,active,4,282,1,0,282,,,1605258000,1605258000,0,0
61,18,1,0,33,1605254089,1,False,active,2,284,1,0,284,,,1605258000,1605258000,0,0
62,22,1,0,29,1605255244,1,True,active,6,285,1,2,285,,,1605258000,1605258000,0,0
63,17,1,0,2,1605248209,1,False,active,2,289,1,0,289,,,1605258000,1605258000,0,0
64,1,1,0,19,1605256725,1,False,active,3,291,1,0,291,,,1605258000,1605258000,0,0
65,3,1,0,51,1605257676,1,False,active,1,293,1,0,293,,,1605258000,1605258000,0,0
66,2,1,0,21,1605249416,1,False,active,0,295,1,1,295,,,1605258000,1605258000,0,0
67,37,1,0,35,1605256190,1,False,active,3,297,1,5,297,,,1605258000,1605258000,0,0
68,31,1,0,4,1605248210,1,False,active,0,298,1,0,298,,,1605258000,1605258000,0,0
69,22,1,0,36,1605255767,1,False,active,1,301,1,0,301,,,1605258000,1605258000,0,0
70,2,1,0,31,1605257081,1,False,active,12,302,1,4,302,,,1605258000,1605258000,0,0
71,9,1,0,57,1605254372,1,False,active,0,303,1,1,303,,,1605258000,1605258000,0,0
72,25,1,0,8,1605255708,1,False,active,1,304,1,0,304,,,1605258000,1605258000,0,0
73,31,1,0,1,1605249416,1,False,active,0,305,1,1,305,,,1605258000,1605258000,0,0
74,4,1,0,25,1605254111,1,False,active,2,307,1,1,307,,,1605258000,1605258000,0,0
75,1,1,0,46,1605255312,1,False,active,4,308,1,1,308,,,1605258000,1605258000,0,0
76,17,1,0,24,1605250622,1,False,active,1,309,1,0,309,,,1605258000,1605258000,0,0
77,5,1,0,60,1605248209,1,False,active,1,310,1,1,310,,,1605258000,1605258000,0,0
78,13,1,0,16,1605257494,1,False,active,3,311,1,2,311,,,1605258000,1605258000,1,0
79,6,1,0,26,1605250622,1,False,active,0,312,1,1,312,,,1605258000,1605258000,0,0
80,10,1,0,45,1605248734,1,False,active,1,313,1,0,313,,,1605258000,1605258000,0,0
81,7,1,0,19,1605248210,1,False,active,0,315,1,3,315,,,1605258000,1605258000,0,0
82,4,0,0,39,1605240530,0,False,active,8,316,1,0,316,,,1605258000,1605258000,0,0
83,21,1,0,33,1605257439,1,False,active,6,317,1,0,317,,,1605258000,1605258000,0,0
84,20,1,0,13,1605252344,1,False,active,1,319,1,0,319,,,1605258000,1605258000,0,0
85,10,1,0,29,1605250622,1,False,active,0,320,1,0,320,,,1605258000,1605258000,0,0
86,12,1,0,26,1605254736,1,False,active,0,321,1,1,321,,,1605258000,1605258000,0,0
87,4,1,0,35,1605255554,1,False,active,0,323,1,0,323,,,1605258000,1605258000,0,0
88,3,1,0,71,1605253192,1,False,active,1,324,1,0,324,,,1605258000,1605258000,1,0
89,0,0,0,34,1605256653,0,False,active,6,325,1,1,325,,,1605258000,1605258000,0,0
90,23,1,0,18,1605250962,1,False,active,0,326,1,0,326,,,1605258000,1605258000,0,0
91,19,1,0,19,1605251947,1,True,active,1,327,1,1,327,,,1605258000,1605258000,0,0
92,2,1,0,30,1605256327,1,False,active,1,328,1,3,328,,,1605258000,1605258000,0,1
93,27,1,0,11,1605257184,1,False,active,0,330,1,1,330,,,1605258000,1605258000,0,0
94,5,1,0,20,1605250622,1,False,active,2,331,1,2,331,,,1605258000,1605258000,0,0
95,10,1,0,26,1605256848,1,False,active,6,332,1,0,332,,,1605258000,1605258000,0,0
96,6,1,0,25,1605249416,1,False,active,1,334,1,0,334,,,1605258000,1605258000,0,0
97,17,1,0,10,1605249416,1,False,active,0,335,1,0,335,,,1605258000,1605258000,1,0
98,11,1,0,25,1605249416,1,False,active,2,336,1,0,336,,,1605258000,1605258000,0,0
99,4,1,0,22,1605254223,1,False,active,0,340,1,1,340,,,1605258000,1605258000,1,0
100,3,0,0,16,1605202828,0,False,active,0,341,1,0,341,,,1605258000,1605258000,0,0
