,last_reported,station_id,is_installed,station_status,legacy_id,eightd_has_available_keys,num_docks_available,is_returning,num_docks_disabled,num_bikes_disabled,num_bikes_available,num_ebikes_available,is_renting,valet,eightd_active_station_services,starttime,timestamp,demand,supply
0,1604721418,72,1,active,72,False,19,1,0,4,32,0,1,,,1604721600,1604721600,5,0
1,1604720489,79,1,active,79,False,5,1,0,0,28,0,1,,,1604721600,1604721600,0,0
2,1604720408,82,1,active,82,False,4,1,0,0,23,1,1,,,1604721600,1604721600,0,1
3,1604718240,83,1,active,83,False,13,1,0,1,48,0,1,,,1604721600,1604721600,0,0
4,86400,116,0,out_of_service,116,False,0,0,0,0,0,0,0,,,1604721600,1604721600,0,0
5,1604719721,119,1,active,119,False,6,1,0,1,46,0,1,,,1604721600,1604721600,1,0
6,1604720769,120,1,active,120,False,5,1,0,0,14,2,1,,,1604721600,1604721600,0,0
7,1604721404,127,1,active,127,False,3,1,0,0,28,0,1,,,1604721600,1604721600,0,2
8,1604721310,128,1,active,128,False,6,1,0,5,45,0,1,,,1604721600,1604721600,0,0
9,1604721139,143,1,active,143,False,12,1,0,1,11,0,1,,,1604721600,1604721600,3,0
10,1604721387,144,1,active,144,False,18,1,0,2,38,1,1,,,1604721600,1604721600,0,0
11,1604721302,146,1,active,146,False,26,1,0,1,12,1,1,,,1604721600,1604721600,0,1
12,1604721531,150,1,active,150,False,20,1,0,0,35,2,1,,,1604721600,1604721600,1,0
13,1604721289,151,1,active,151,True,0,1,0,2,31,2,1,,,1604721600,1604721600,0,9
14,1604719395,152,1,active,152,False,33,1,0,0,16,0,1,,,1604721600,1604721600,1,0
15,1604719118,157,1,active,157,False,1,1,0,1,21,2,1,,,1604721600,1604721600,0,0
16,1604721484,161,1,active,161,False,0,1,0,0,35,3,1,,,1604721600,1604721600,0,17
17,1604721145,164,1,active,164,False,7,1,0,2,38,1,1,,,1604721600,1604721600,0,1
18,1604719996,168,1,active,168,False,18,1,0,1,28,0,1,,,1604721600,1604721600,0,1
19,1604721405,173,1,active,173,False,63,1,0,1,6,0,1,,,1604721600,1604721600,0,0
20,1604721263,174,1,active,174,False,29,1,0,1,5,0,1,,,1604721600,1604721600,0,0
21,1604721050,212,1,active,212,False,11,1,0,0,49,1,1,,,1604721600,1604721600,0,1
22,1604717324,216,1,active,216,False,32,1,0,0,5,0,1,,,1604721600,1604721600,0,0
23,1604721364,217,1,active,217,False,8,1,0,6,25,0,1,,,1604721600,1604721600,1,0
24,1604721454,223,1,active,223,False,2,1,0,4,27,1,1,,,1604721600,1604721600,1,0
25,1604721466,224,1,active,224,True,22,1,0,3,5,1,1,,,1604721600,1604721600,0,0
26,1604721408,228,1,active,228,False,43,1,0,1,11,0,1,,,1604721600,1604721600,0,0
27,1604720858,229,1,active,229,False,4,1,0,5,14,0,1,,,1604721600,1604721600,0,5
28,1604721069,236,1,active,236,False,4,1,0,5,38,1,1,,,1604721600,1604721600,3,0
29,1604720071,237,1,active,237,False,6,1,0,2,31,0,1,,,1604721600,1604721600,0,2
30,1604720230,238,1,active,238,False,0,1,0,2,29,2,1,,,1604721600,1604721600,0,1
31,1604721515,239,1,active,239,False,11,1,0,1,19,1,1,,,1604721600,1604721600,0,1
32,1604718455,241,1,active,241,False,4,1,0,1,18,0,1,,,1604721600,1604721600,0,2
33,1604718193,242,1,active,242,False,10,1,0,2,34,0,1,,,1604721600,1604721600,0,0
34,1604721109,244,1,active,244,False,27,1,0,1,3,0,1,,,1604721600,1604721600,1,0
35,1604718600,245,1,active,245,False,16,1,0,0,7,2,1,,,1604721600,1604721600,3,0
36,1604719752,247,1,active,247,False,0,1,0,0,55,0,1,,,1604721600,1604721600,0,4
37,1604721396,248,1,active,248,False,58,1,0,1,40,1,1,,,1604721600,1604721600,1,0
38,1604720761,249,1,active,249,False,23,1,0,0,4,0,1,,,1604721600,1604721600,1,0
39,1604721064,250,1,active,250,False,0,1,0,2,38,2,1,,,1604721600,1604721600,0,1
40,1604721522,251,1,active,251,False,1,1,0,1,25,2,1,,,1604721600,1604721600,0,2
41,1604721425,252,1,active,252,False,4,1,0,0,29,0,1,,,1604721600,1604721600,0,2
42,1604719426,254,1,active,254,False,12,1,0,2,33,3,1,,,1604721600,1604721600,0,10
43,1604720111,257,1,active,257,False,6,1,0,0,33,1,1,,,1604721600,1604721600,6,0
44,1604721095,258,1,active,258,False,19,1,0,1,3,0,1,,,1604721600,1604721600,0,2
45,1604719742,259,1,active,259,False,10,1,0,3,26,1,1,,,1604721600,1604721600,0,0
46,1604720050,260,1,active,260,False,8,1,0,2,23,1,1,,,1604721600,1604721600,0,0
47,1604721259,261,1,active,261,False,32,1,0,0,9,1,1,,,1604721600,1604721600,1,0
48,1604720268,262,1,active,262,False,0,1,0,3,21,0,1,,,1604721600,1604721600,0,0
49,1604720887,264,1,active,264,False,10,1,0,0,17,0,1,,,1604721600,1604721600,0,1
50,1604721459,265,1,active,265,False,1,1,0,3,31,0,1,,,1604721600,1604721600,0,2
51,1604719831,267,1,active,267,False,61,1,0,0,9,0,1,,,1604721600,1604721600,0,1
52,1604721585,268,1,active,268,False,3,1,0,1,23,0,1,,,1604721600,1604721600,3,0
53,1604720095,270,1,active,270,False,4,1,0,1,18,3,1,,,1604721600,1604721600,0,2
54,1604719726,274,1,active,274,False,24,1,0,2,5,0,1,,,1604721600,1604721600,8,0
55,1604720547,275,1,active,275,False,12,1,0,2,5,4,1,,,1604721600,1604721600,0,1
56,1604719014,276,1,active,276,False,20,1,0,0,5,0,1,,,1604721600,1604721600,1,0
57,1604719733,278,1,active,278,False,16,1,0,0,3,0,1,,,1604721600,1604721600,3,0
58,86400,280,0,out_of_service,280,False,0,0,0,0,0,0,0,,,1604721600,1604721600,0,0
59,1604718546,281,1,active,281,True,62,1,0,3,1,1,1,,,1604721600,1604721600,0,1
60,1604719809,282,1,active,282,False,16,1,0,5,6,0,1,,,1604721600,1604721600,0,0
61,1604720680,284,1,active,284,False,6,1,0,1,44,1,1,,,1604721600,1604721600,1,0
62,1604721027,285,1,active,285,True,23,1,0,3,27,0,1,,,1604721600,1604721600,0,5
63,1604717859,289,1,active,289,False,16,1,0,0,3,0,1,,,1604721600,1604721600,0,0
64,1604720361,291,1,active,291,False,6,1,0,0,14,0,1,,,1604721600,1604721600,1,0
65,1604721393,293,1,active,293,False,11,1,0,1,42,0,1,,,1604721600,1604721600,0,1
66,1604716002,295,1,active,295,False,0,1,0,0,24,1,1,,,1604721600,1604721600,0,0
67,1604721548,297,1,active,297,False,58,1,0,2,17,0,1,,,1604721600,1604721600,0,7
68,1604721583,298,1,active,298,False,9,1,0,1,25,2,1,,,1604721600,1604721600,0,1
69,1604721419,301,1,active,301,False,44,1,0,0,14,2,1,,,1604721600,1604721600,0,1
70,1604719853,302,1,active,302,False,10,1,0,3,24,1,1,,,1604721600,1604721600,0,1
71,1604717166,303,1,active,303,False,2,1,0,3,62,5,1,,,1604721600,1604721600,0,3
72,1604718348,304,1,active,304,True,6,1,0,2,25,0,1,,,1604721600,1604721600,0,1
73,1604720523,305,1,active,305,False,0,0,0,2,31,9,0,,,1604721600,1604721600,0,0
74,1604721552,307,1,active,307,False,1,1,0,2,27,0,1,,,1604721600,1604721600,3,0
75,1604720587,308,1,active,308,False,15,1,0,1,32,0,1,,,1604721600,1604721600,0,0
76,1604719844,309,1,active,309,False,32,1,0,1,8,1,1,,,1604721600,1604721600,0,0
77,1604721129,310,1,active,310,False,6,1,0,1,59,0,1,,,1604721600,1604721600,0,0
78,1604721561,311,1,active,311,False,2,1,0,2,27,2,1,,,1604721600,1604721600,1,0
79,1604721181,312,1,active,312,False,0,1,0,1,32,0,1,,,1604721600,1604721600,0,2
80,1604720262,313,1,active,313,False,2,1,0,1,52,0,1,,,1604721600,1604721600,2,0
81,1604719397,315,1,active,315,False,20,1,0,1,8,0,1,,,1604721600,1604721600,0,1
82,1604721317,316,1,active,316,False,13,1,0,2,28,0,1,,,1604721600,1604721600,0,4
83,1604721498,317,1,active,317,False,4,1,0,2,48,0,1,,,1604721600,1604721600,0,0
84,1604720627,319,1,active,319,False,25,1,0,2,6,0,1,,,1604721600,1604721600,6,0
85,1604720599,320,1,active,320,False,19,1,0,1,19,1,1,,,1604721600,1604721600,0,1
86,1604714554,321,1,active,321,False,11,0,0,0,28,3,0,,,1604721600,1604721600,5,0
