,eightd_has_available_keys,num_ebikes_available,station_id,is_returning,is_installed,is_renting,last_reported,num_docks_available,legacy_id,num_docks_disabled,station_status,num_bikes_disabled,num_bikes_available,valet,eightd_active_station_services,starttime,timestamp,demand,supply
0,False,2,72,1,1,1,1605049183,42,72,0,active,4,9,,,1605049200,1605049200,0,1
1,False,0,79,1,1,1,1605049140,6,79,0,active,1,26,,,1605049200,1605049200,0,9
2,False,2,82,1,1,1,1605048079,1,82,0,active,0,26,,,1605049200,1605049200,0,0
3,False,2,83,1,1,1,1605049180,37,83,0,active,1,24,,,1605049200,1605049200,0,3
4,False,0,116,0,0,0,86400,0,116,0,out_of_service,0,0,,,1605049200,1605049200,0,0
5,False,0,119,1,1,1,1605046064,11,119,0,active,1,41,,,1605049200,1605049200,0,0
6,False,2,120,1,1,1,1605049185,13,120,0,active,0,6,,,1605049200,1605049200,0,0
7,False,0,127,1,1,1,1605049179,26,127,0,active,2,3,,,1605049200,1605049200,10,0
8,False,2,128,1,1,1,1605049179,1,128,0,active,2,53,,,1605049200,1605049200,0,2
9,False,0,143,1,1,1,1605049030,14,143,0,active,2,8,,,1605049200,1605049200,0,6
10,False,0,144,1,1,1,1605048679,13,144,0,active,1,44,,,1605049200,1605049200,2,0
11,False,1,146,1,1,1,1605048882,4,146,0,active,0,35,,,1605049200,1605049200,1,0
12,False,0,150,1,1,1,1605048192,46,150,0,active,1,8,,,1605049200,1605049200,5,0
13,True,0,151,1,1,1,1605049125,7,151,0,active,5,21,,,1605049200,1605049200,0,0
14,False,0,152,1,1,1,1605049018,5,152,0,active,0,44,,,1605049200,1605049200,4,0
15,False,1,157,1,1,1,1605048704,11,157,0,active,1,11,,,1605049200,1605049200,8,0
16,False,1,161,1,1,1,1605049090,4,161,0,active,2,29,,,1605049200,1605049200,0,0
17,False,0,164,1,1,1,1605048682,15,164,0,active,4,28,,,1605049200,1605049200,0,10
18,False,0,168,1,1,1,1605049186,7,168,0,active,1,39,,,1605049200,1605049200,0,10
19,False,0,173,1,1,1,1605049195,45,173,0,active,4,21,,,1605049200,1605049200,0,15
20,False,0,174,1,1,1,1605049035,32,174,0,active,1,2,,,1605049200,1605049200,1,0
21,False,1,212,1,1,1,1605049170,15,212,0,active,3,42,,,1605049200,1605049200,13,0
22,False,1,216,1,1,1,1605048839,31,216,0,active,1,5,,,1605049200,1605049200,0,3
23,False,0,217,1,1,1,1605049034,1,217,0,active,2,36,,,1605049200,1605049200,0,3
24,False,0,223,1,1,1,1605049095,9,223,0,active,3,21,,,1605049200,1605049200,8,0
25,True,1,224,1,1,1,1605048958,20,224,0,active,3,7,,,1605049200,1605049200,0,0
26,False,0,228,1,1,1,1605049088,18,228,0,active,1,36,,,1605049200,1605049200,0,21
27,False,0,229,1,1,1,1605049189,1,229,0,active,2,20,,,1605049200,1605049200,0,7
28,False,0,236,1,1,1,86400,0,236,0,active,0,0,,,1605049200,1605049200,0,0
29,False,0,237,1,1,1,1605049165,33,237,0,active,2,4,,,1605049200,1605049200,7,0
30,False,1,238,1,1,1,1605048897,6,238,0,active,4,21,,,1605049200,1605049200,2,0
31,False,0,239,1,1,1,1605048999,11,239,0,active,0,20,,,1605049200,1605049200,0,2
32,False,0,241,1,1,1,1605049196,17,241,0,active,2,4,,,1605049200,1605049200,5,0
33,False,0,242,1,1,1,1605049092,9,242,0,active,0,37,,,1605049200,1605049200,0,2
34,False,0,244,1,1,1,1605048427,27,244,0,active,2,2,,,1605049200,1605049200,0,1
35,False,1,245,1,1,1,1605048930,3,245,0,active,0,20,,,1605049200,1605049200,0,0
36,False,1,247,1,1,1,1605049160,37,247,0,active,3,15,,,1605049200,1605049200,13,0
37,False,0,248,1,1,1,1605047390,9,248,0,active,1,89,,,1605049200,1605049200,0,3
38,False,0,249,1,1,1,1605049083,4,249,0,active,1,22,,,1605049200,1605049200,0,1
39,False,0,250,1,1,1,1605049195,6,250,0,active,5,29,,,1605049200,1605049200,0,13
40,False,1,251,1,1,1,1605048986,3,251,0,active,3,21,,,1605049200,1605049200,0,4
41,False,0,252,1,1,1,1605049089,1,252,0,active,1,31,,,1605049200,1605049200,0,1
42,False,0,254,1,1,1,1605049104,33,254,1,active,2,11,,,1605049200,1605049200,6,0
43,False,0,257,1,1,1,1605048958,6,257,0,active,3,30,,,1605049200,1605049200,0,5
44,False,1,258,1,1,1,1605049087,15,258,0,active,2,6,,,1605049200,1605049200,2,0
45,False,0,259,1,1,1,1605049083,6,259,0,active,0,33,,,1605049200,1605049200,3,0
46,False,0,260,1,1,1,1605048507,9,260,0,active,1,23,,,1605049200,1605049200,0,6
47,False,0,261,1,1,1,1605049029,27,261,0,active,0,14,,,1605049200,1605049200,0,0
48,False,0,262,1,1,1,1605049145,17,262,0,active,1,6,,,1605049200,1605049200,0,0
49,False,1,264,1,1,1,1605049171,6,264,0,active,3,18,,,1605049200,1605049200,0,4
50,False,3,265,1,1,1,1605049162,7,265,0,active,2,26,,,1605049200,1605049200,0,2
51,False,0,267,1,1,1,1605049197,66,267,0,active,2,2,,,1605049200,1605049200,0,2
52,False,2,268,1,1,1,1605049194,11,268,0,active,0,16,,,1605049200,1605049200,0,1
53,False,0,270,1,1,1,1605048974,15,270,0,active,4,4,,,1605049200,1605049200,0,2
54,False,0,274,1,1,1,1605048386,29,274,0,active,2,0,,,1605049200,1605049200,7,0
55,False,1,275,1,1,1,1605048438,14,275,0,active,1,4,,,1605049200,1605049200,0,0
56,False,0,276,1,1,1,1605048890,1,276,0,active,0,24,,,1605049200,1605049200,0,1
57,False,1,278,1,1,1,1605048976,10,278,0,active,0,9,,,1605049200,1605049200,2,0
58,False,0,280,0,0,0,86400,0,280,0,out_of_service,0,0,,,1605049200,1605049200,0,0
59,True,1,281,1,1,1,1605049186,48,281,0,active,4,14,,,1605049200,1605049200,0,13
60,False,0,282,1,1,1,1605048921,21,282,0,active,3,3,,,1605049200,1605049200,4,0
61,False,0,284,1,1,1,1605049174,35,284,0,active,2,14,,,1605049200,1605049200,7,0
62,True,1,285,1,1,1,1605049179,5,285,0,active,1,47,,,1605049200,1605049200,0,6
63,False,1,289,1,1,1,1605048968,17,289,0,active,0,2,,,1605049200,1605049200,2,0
64,False,2,291,1,1,1,1605049042,10,291,0,active,0,10,,,1605049200,1605049200,2,0
65,False,0,293,1,1,1,1605049186,19,293,0,active,1,34,,,1605049200,1605049200,0,8
66,False,1,295,1,1,1,1605049137,5,295,0,active,0,19,,,1605049200,1605049200,5,0
67,False,0,297,1,1,1,1605048959,65,297,0,active,3,9,,,1605049200,1605049200,1,0
68,False,1,298,1,1,1,1605049046,16,298,0,active,2,17,,,1605049200,1605049200,0,1
69,False,0,301,1,1,1,1605049058,40,301,0,active,0,18,,,1605049200,1605049200,13,0
70,False,0,302,1,1,1,1605049011,19,302,0,active,5,13,,,1605049200,1605049200,7,0
71,False,0,303,1,1,1,1605049191,12,303,0,active,0,55,,,1605049200,1605049200,0,4
72,False,0,304,1,1,1,1605049124,0,304,26,active,0,7,"{'valet_revision': 8699, 'station_id': '66db6da2-0aca-11e7-82f6-3863bb44ef7c', 'region': 'BKN', 'off_dock_count': 6, 'off_dock_capacity': 70, 'active': True, 'dock_blocked_count': 26}",[{'id': '66db6da2-0aca-11e7-82f6-3863bb44ef7c'}],1605049200,1605049200,0,6
73,False,0,305,1,1,1,1605049189,17,305,0,active,3,13,,,1605049200,1605049200,0,6
74,False,0,307,1,1,1,1605048806,0,307,0,active,1,29,,,1605049200,1605049200,0,3
75,False,0,308,1,1,1,1605049066,11,308,0,active,1,36,,,1605049200,1605049200,11,0
76,False,0,309,1,1,1,1605049007,13,309,0,active,1,27,,,1605049200,1605049200,0,10
77,False,0,310,1,1,1,1605049119,13,310,0,active,1,52,,,1605049200,1605049200,0,5
78,False,0,311,1,1,1,1605049048,2,311,0,active,5,24,,,1605049200,1605049200,2,0
79,False,1,312,1,1,1,1605049126,10,312,0,active,3,20,,,1605049200,1605049200,4,0
80,False,0,313,1,1,1,1605048890,7,313,0,active,2,46,,,1605049200,1605049200,0,0
81,False,0,315,1,1,1,1605048984,8,315,0,active,3,18,,,1605049200,1605049200,0,2
82,False,0,316,1,1,1,1605048971,24,316,0,active,3,16,,,1605049200,1605049200,1,0
83,False,0,317,1,1,1,1605049148,30,317,0,active,4,20,,,1605049200,1605049200,3,0
84,False,0,319,1,1,1,1605049115,11,319,0,active,2,20,,,1605049200,1605049200,0,18
85,False,0,320,1,1,1,1605049125,9,320,0,active,0,30,,,1605049200,1605049200,3,0
86,False,0,321,1,1,1,1605049117,2,321,0,active,2,35,,,1605049200,1605049200,0,3
87,False,0,323,1,1,1,1605048754,8,323,0,active,1,30,,,1605049200,1605049200,2,0
88,False,2,324,1,1,1,1605049029,5,324,0,active,3,66,,,1605049200,1605049200,1,0
89,False,0,325,1,1,1,1605049190,7,325,0,active,1,27,,,1605049200,1605049200,0,2
90,False,2,326,1,1,1,1605049085,11,326,0,active,1,29,,,1605049200,1605049200,4,0
91,True,0,327,1,1,1,1605049186,25,327,0,active,4,10,,,1605049200,1605049200,0,0
