,num_ebikes_available,is_renting,last_reported,num_bikes_disabled,eightd_has_available_keys,is_installed,station_status,num_bikes_available,num_docks_disabled,station_id,num_docks_available,is_returning,legacy_id,valet,eightd_active_station_services,starttime,timestamp,demand,supply
0,0,1,1605113967,1,False,1,active,11,0,72,43,1,72,,,1605114005,1605114005,1,0
1,2,1,1605113958,0,False,1,active,31,0,79,2,1,79,,,1605114005,1605114005,0,1
2,0,1,1605112597,0,False,1,active,20,0,82,7,1,82,,,1605114005,1605114005,0,2
3,0,1,1605113947,2,False,1,active,29,0,83,31,1,83,,,1605114005,1605114005,6,0
4,0,0,86400,0,False,0,out_of_service,0,0,116,0,0,116,,,1605114005,1605114005,0,0
5,0,1,1605110986,0,False,1,active,40,0,119,13,1,119,,,1605114005,1605114005,3,0
6,0,1,1605111542,0,False,1,active,1,0,120,18,1,120,,,1605114005,1605114005,3,0
7,1,1,1605113886,1,False,1,active,7,0,127,23,1,127,,,1605114005,1605114005,0,5
8,1,1,1605113864,1,False,1,active,30,0,128,25,1,128,,,1605114005,1605114005,14,0
9,2,1,1605113767,1,False,1,active,10,0,143,13,1,143,,,1605114005,1605114005,0,1
10,1,1,1605113962,2,False,1,active,50,0,144,6,1,144,,,1605114005,1605114005,0,2
11,1,1,1605113231,0,False,1,active,28,0,146,11,1,146,,,1605114005,1605114005,0,1
12,0,1,1605113991,1,False,1,active,21,0,150,33,1,150,,,1605114005,1605114005,0,3
13,4,1,1605113956,5,True,1,active,28,0,151,0,1,151,,,1605114005,1605114005,0,6
14,0,1,1605113299,0,False,1,active,41,0,152,8,1,152,,,1605114005,1605114005,1,0
15,0,1,1605113298,1,False,1,active,7,0,157,15,1,157,,,1605114005,1605114005,0,0
16,0,1,1605113920,1,False,1,active,18,0,161,16,1,161,,,1605114005,1605114005,0,1
17,0,1,1605113648,3,False,1,active,10,0,164,34,1,164,,,1605114005,1605114005,6,0
18,2,1,1605113991,0,False,1,active,43,0,168,4,1,168,,,1605114005,1605114005,0,5
19,0,1,1605113420,1,False,1,active,53,0,173,16,1,173,,,1605114005,1605114005,0,6
20,0,1,1605113769,1,False,1,active,18,0,174,16,1,174,,,1605114005,1605114005,0,1
21,1,1,1605113967,1,False,1,active,51,0,212,8,1,212,,,1605114005,1605114005,6,0
22,2,1,1605113543,2,False,1,active,5,0,216,30,1,216,,,1605114005,1605114005,1,0
23,0,1,1605113723,3,False,1,active,36,0,217,0,1,217,,,1605114005,1605114005,0,2
24,1,1,1605113971,2,False,1,active,24,0,223,7,1,223,,,1605114005,1605114005,0,6
25,0,1,1605113838,0,True,1,active,1,0,224,29,1,224,,,1605114005,1605114005,2,0
26,9,0,1605113536,1,False,1,active,31,0,228,23,0,228,,,1605114005,1605114005,6,0
