,num_docks_available,last_reported,num_bikes_disabled,station_status,legacy_id,num_docks_disabled,station_id,is_installed,is_renting,num_bikes_available,num_ebikes_available,is_returning,eightd_has_available_keys,eightd_active_station_services,valet,starttime,timestamp,demand,supply
0,46,1605192365,1,active,72,0,72,1,1,8,4,1,False,,,1605193195,1605193195,0,2
1,0,1605190812,1,active,79,0,79,1,1,32,1,1,False,,,1605193195,1605193195,0,0
2,3,1605191669,0,active,82,0,82,1,1,24,3,1,False,,,1605193195,1605193195,2,0
3,31,1605191032,0,active,83,0,83,1,1,31,0,1,False,,,1605193195,1605193195,1,0
4,0,86400,0,out_of_service,116,0,116,0,0,0,0,0,False,,,1605193195,1605193195,0,0
5,11,1605190079,0,active,119,0,119,1,1,42,0,1,False,,,1605193195,1605193195,1,0
6,18,1605191079,0,active,120,0,120,1,1,1,1,1,False,,,1605193195,1605193195,0,1
7,21,1605193055,0,active,127,0,127,1,1,10,0,1,False,,,1605193195,1605193195,0,0
8,17,1605192644,1,active,128,0,128,1,1,38,3,1,False,,,1605193195,1605193195,6,0
9,12,1605193081,0,active,143,0,143,1,1,12,0,1,False,,,1605193195,1605193195,1,0
10,5,1605192430,2,active,144,0,144,1,1,51,0,1,False,,,1605193195,1605193195,0,2
11,17,1605191113,0,active,146,0,146,1,1,22,1,1,False,,,1605193195,1605193195,0,2
12,23,1605192992,1,active,150,0,150,1,1,31,0,1,False,,,1605193195,1605193195,0,2
13,10,1605193166,3,active,151,0,151,1,1,20,1,1,True,,,1605193195,1605193195,1,0
14,5,1605191401,0,active,152,0,152,1,1,44,1,1,False,,,1605193195,1605193195,1,0
15,18,1605193154,1,active,157,0,157,1,1,4,1,1,False,,,1605193195,1605193195,1,0
16,23,1605190988,1,active,161,0,161,1,1,11,0,1,False,,,1605193195,1605193195,0,0
17,29,1605192854,1,active,164,0,164,1,1,17,2,1,False,,,1605193195,1605193195,0,3
18,4,1605192933,1,active,168,0,168,1,1,42,6,1,False,,,1605193195,1605193195,2,0
19,12,1605192653,0,active,173,0,173,1,1,58,3,1,False,,,1605193195,1605193195,0,2
20,23,1605191751,0,active,174,0,174,1,1,12,0,1,False,,,1605193195,1605193195,2,0
21,3,1605193115,2,active,212,0,212,1,1,55,3,1,False,,,1605193195,1605193195,0,0
22,28,1605192678,1,active,216,0,216,1,1,8,0,1,False,,,1605193195,1605193195,0,1
23,10,1605191532,1,active,217,0,217,1,1,28,0,1,False,,,1605193195,1605193195,0,0
24,2,1605192861,2,active,223,0,223,1,1,29,3,1,False,,,1605193195,1605193195,0,4
25,26,1605192525,0,active,224,0,224,1,1,4,1,1,True,,,1605193195,1605193195,0,0
26,2,1605193133,1,active,228,1,228,1,1,51,13,1,False,,,1605193195,1605193195,0,0
27,1,1605192882,3,active,229,0,229,1,1,19,5,1,False,,,1605193195,1605193195,0,5
28,0,86400,0,active,236,0,236,1,1,0,0,1,False,,,1605193195,1605193195,0,0
29,20,1605192956,2,active,237,0,237,1,1,17,0,1,False,,,1605193195,1605193195,0,2
30,14,1605191042,0,active,238,0,238,1,1,17,2,1,False,,,1605193195,1605193195,0,3
31,2,1605193025,1,active,239,0,239,1,1,28,1,1,False,,,1605193195,1605193195,0,2
32,10,1605191561,1,active,241,0,241,1,1,12,0,1,False,,,1605193195,1605193195,1,0
33,2,1605192480,1,active,242,0,242,1,1,43,0,1,False,,,1605193195,1605193195,2,0
34,30,1605191822,1,active,244,0,244,1,1,0,0,1,False,,,1605193195,1605193195,0,0
35,7,1605192516,0,active,245,0,245,1,1,16,0,1,False,,,1605193195,1605193195,0,1
36,32,1605192884,1,active,247,0,247,1,1,22,0,1,False,,,1605193195,1605193195,0,4
37,10,1605193090,3,active,248,0,248,1,1,86,1,1,False,,,1605193195,1605193195,4,0
38,3,1605192745,0,active,249,0,249,1,1,24,1,1,False,,,1605193195,1605193195,0,1
39,1,1605193162,1,active,250,0,250,1,1,38,5,1,False,,,1605193195,1605193195,0,1
40,12,1605193000,0,active,251,0,251,1,1,15,2,1,False,,,1605193195,1605193195,7,0
41,19,1605191163,0,active,252,0,252,1,1,14,0,1,False,,,1605193195,1605193195,1,0
42,36,1605192902,1,active,254,1,254,1,1,9,0,1,False,,,1605193195,1605193195,0,0
43,7,1605193164,1,active,257,0,257,1,1,31,2,1,False,,,1605193195,1605193195,7,0
