,station_status,eightd_has_available_keys,legacy_id,station_id,is_installed,is_returning,last_reported,num_docks_disabled,num_bikes_available,is_renting,num_docks_available,num_ebikes_available,num_bikes_disabled,eightd_active_station_services,valet,starttime,timestamp,demand,supply
0,active,False,72,72,1,1,1604663843,0,29,1,26,0,0,,,1604664000,1604664000,0,1
1,active,False,79,79,1,1,1604661549,0,13,1,20,0,0,,,1604664000,1604664000,3,0
2,active,False,82,82,1,1,1604663823,0,9,1,18,0,0,,,1604664000,1604664000,0,0
3,active,False,83,83,1,1,1604661747,0,43,1,19,1,0,,,1604664000,1604664000,1,0
4,out_of_service,False,116,116,0,0,86400,0,0,0,0,0,0,,,1604664000,1604664000,0,0
5,active,False,119,119,1,1,1604645349,0,50,1,2,0,1,,,1604664000,1604664000,0,0
6,active,False,120,120,1,1,1604659381,0,5,1,14,1,0,,,1604664000,1604664000,0,1
7,active,False,127,127,1,1,1604663542,0,28,1,1,0,2,,,1604664000,1604664000,0,1
8,active,False,128,128,1,1,1604663955,0,23,1,32,1,1,,,1604664000,1604664000,0,7
9,active,False,143,143,1,1,1604663536,0,16,1,8,0,0,,,1604664000,1604664000,1,0
10,active,False,144,144,1,1,1604663533,0,43,1,15,0,0,,,1604664000,1604664000,3,0
11,active,False,146,146,1,1,1604663353,0,18,1,21,0,0,,,1604664000,1604664000,0,4
12,active,False,150,150,1,1,1604662884,0,19,1,36,0,0,,,1604664000,1604664000,0,2
13,active,True,151,151,1,1,1604663958,0,29,1,3,0,1,,,1604664000,1604664000,0,3
14,active,False,152,152,1,1,1604663264,0,21,1,28,0,0,,,1604664000,1604664000,0,0
15,active,False,157,157,1,1,1604663593,0,19,1,3,0,1,,,1604664000,1604664000,0,0
16,active,False,161,161,1,1,1604663282,0,18,1,16,2,1,,,1604664000,1604664000,0,2
17,active,False,164,164,1,1,1604663760,0,35,1,11,3,1,,,1604664000,1604664000,0,5
18,active,False,168,168,1,1,1604662190,0,10,1,36,0,1,,,1604664000,1604664000,0,1
19,active,False,173,173,1,1,1604663890,0,39,1,30,4,1,,,1604664000,1604664000,12,0
20,active,False,174,174,1,1,1604663589,0,10,1,24,0,1,,,1604664000,1604664000,15,0
21,active,False,212,212,1,1,1604663813,0,37,1,22,1,1,,,1604664000,1604664000,0,0
22,active,False,216,216,1,1,1604651987,0,9,1,27,0,1,,,1604664000,1604664000,0,2
23,active,False,217,217,1,1,1604661802,0,30,1,9,1,0,,,1604664000,1604664000,1,0
24,active,False,223,223,1,1,1604663862,0,17,1,16,0,0,,,1604664000,1604664000,0,2
25,active,True,224,224,1,1,1604663402,0,1,1,29,0,0,,,1604664000,1604664000,6,0
26,active,False,228,228,1,1,1604663708,0,11,1,44,0,0,,,1604664000,1604664000,4,0
27,active,False,229,229,1,1,1604663346,0,5,1,15,0,3,,,1604664000,1604664000,1,0
28,active,False,236,236,1,1,1604663696,0,39,1,8,0,0,,,1604664000,1604664000,0,8
29,active,False,237,237,1,1,1604663988,0,27,1,12,1,0,,,1604664000,1604664000,0,5
30,active,False,238,238,1,1,1604663429,0,23,1,7,1,1,,,1604664000,1604664000,0,0
31,active,False,239,239,1,1,1604663741,0,19,1,12,1,0,,,1604664000,1604664000,0,1
32,active,False,241,241,1,1,1604663952,0,13,1,8,0,2,,,1604664000,1604664000,1,0
33,active,False,242,242,1,1,1604662935,0,34,1,12,0,0,,,1604664000,1604664000,0,0
34,active,False,244,244,1,1,1604660252,0,8,1,23,0,0,,,1604664000,1604664000,0,3
35,active,False,245,245,1,1,1604661992,0,3,1,19,1,1,,,1604664000,1604664000,0,0
36,active,False,247,247,1,1,1604663533,0,47,1,8,1,0,,,1604664000,1604664000,2,0
37,active,False,248,248,1,1,1604658139,0,48,1,50,1,1,,,1604664000,1604664000,0,1
38,active,False,249,249,1,1,1604662839,0,2,1,25,0,0,,,1604664000,1604664000,3,0
39,active,False,250,250,1,1,1604663455,0,16,1,24,0,0,,,1604664000,1604664000,0,2
40,active,False,251,251,1,1,1604663982,0,23,1,1,1,3,,,1604664000,1604664000,0,8
41,active,False,252,252,1,1,1604663418,0,21,1,12,0,0,,,1604664000,1604664000,0,3
42,active,False,254,254,1,1,1604662892,1,22,1,23,0,1,,,1604664000,1604664000,0,4
43,active,False,257,257,1,1,1604663591,0,6,1,33,0,0,,,1604664000,1604664000,0,1
44,active,False,258,258,1,1,1604661595,0,15,1,7,0,1,,,1604664000,1604664000,3,0
45,active,False,259,259,1,1,1604661882,0,33,1,5,1,1,,,1604664000,1604664000,1,0
46,active,False,260,260,1,1,1604662746,0,19,1,14,1,0,,,1604664000,1604664000,2,0
47,active,False,261,261,1,1,1604662209,0,9,1,32,0,0,,,1604664000,1604664000,1,0
48,active,False,262,262,1,1,1604663061,0,12,1,11,0,1,,,1604664000,1604664000,0,3
49,active,False,264,264,1,1,1604663904,0,20,1,7,6,0,,,1604664000,1604664000,0,2
50,active,False,265,265,1,1,1604663178,0,25,1,10,0,0,,,1604664000,1604664000,0,0
51,active,False,267,267,1,1,1604663490,0,7,1,60,0,3,,,1604664000,1604664000,4,0
52,active,False,268,268,1,1,1604663619,0,4,1,23,4,0,,,1604664000,1604664000,0,0
53,active,False,270,270,1,1,1604663512,0,7,1,16,0,0,,,1604664000,1604664000,0,5
54,active,False,274,274,1,1,1604663966,0,21,1,10,4,0,,,1604664000,1604664000,1,0
55,active,False,275,275,1,1,1604663660,0,4,1,13,0,2,,,1604664000,1604664000,0,0
56,active,False,276,276,1,1,1604662947,0,13,1,12,0,0,,,1604664000,1604664000,0,2
57,active,False,278,278,1,1,1604645349,0,5,1,13,1,1,,,1604664000,1604664000,0,1
58,out_of_service,False,280,280,0,0,86400,0,0,0,0,0,0,,,1604664000,1604664000,0,0
59,active,True,281,281,1,1,1604663056,0,10,1,56,2,0,,,1604664000,1604664000,5,0
60,active,False,282,282,1,1,1604662221,0,20,1,6,4,1,,,1604664000,1604664000,0,3
61,active,False,284,284,1,1,1604663089,0,28,1,22,0,1,,,1604664000,1604664000,0,4
62,active,True,285,285,1,1,1604663735,0,10,1,43,0,0,,,1604664000,1604664000,3,0
63,active,False,289,289,1,1,1604662832,0,6,1,13,1,0,,,1604664000,1604664000,0,2
64,active,False,291,291,1,1,1604663086,0,19,1,1,0,0,,,1604664000,1604664000,0,2
65,active,False,293,293,1,1,1604663887,0,22,1,30,2,2,,,1604664000,1604664000,0,4
66,active,False,295,295,1,0,86400,0,0,0,0,0,0,,,1604664000,1604664000,0,0
67,active,False,297,297,1,1,1604663686,0,29,1,47,6,1,,,1604664000,1604664000,0,3
68,active,False,298,298,1,1,1604645349,0,31,1,4,2,0,,,1604664000,1604664000,0,2
69,active,False,301,301,1,1,1604663721,0,35,1,23,0,0,,,1604664000,1604664000,0,2
70,active,False,302,302,1,1,1604662325,0,16,1,19,0,2,,,1604664000,1604664000,1,0
71,active,False,303,303,1,1,1604662497,0,51,1,14,0,2,,,1604664000,1604664000,0,0
72,active,True,304,304,1,1,1604663843,0,16,1,16,2,1,,,1604664000,1604664000,0,1
73,active,False,305,305,1,1,1604663902,0,9,1,22,3,2,,,1604664000,1604664000,6,0
74,active,False,307,307,1,1,1604663649,0,26,1,4,2,0,,,1604664000,1604664000,0,3
75,active,False,308,308,1,1,1604663958,0,13,1,33,2,2,,,1604664000,1604664000,1,0
76,active,False,309,309,1,1,1604663972,0,22,1,18,0,1,,,1604664000,1604664000,12,0
77,active,False,310,310,1,1,1604660788,0,66,1,0,1,0,,,1604664000,1604664000,0,0
78,active,False,311,311,1,1,1604663936,0,22,1,9,0,0,,,1604664000,1604664000,0,7
79,active,False,312,312,1,1,1604663901,0,27,1,5,0,1,,,1604664000,1604664000,0,3
80,active,False,313,313,1,1,1604662715,0,53,1,2,1,0,,,1604664000,1604664000,0,2
81,active,False,315,315,1,1,1604663904,0,17,1,10,1,2,,,1604664000,1604664000,2,0
82,active,False,316,316,1,1,1604662178,0,2,1,41,0,0,,,1604664000,1604664000,0,0
83,active,False,317,317,1,1,1604663861,0,49,1,5,0,0,,,1604664000,1604664000,0,7
84,active,False,319,319,1,1,1604663485,0,2,1,30,0,1,,,1604664000,1604664000,4,0
85,active,False,320,320,1,1,1604663780,0,16,1,23,0,0,,,1604664000,1604664000,0,3
86,active,False,321,321,1,1,1604663981,0,22,1,16,1,1,,,1604664000,1604664000,0,0
87,active,False,323,323,1,1,1604660978,0,11,1,27,0,1,,,1604664000,1604664000,0,0
88,active,False,324,324,1,1,1604663325,0,52,1,22,2,0,,,1604664000,1604664000,3,0
89,active,False,325,325,1,1,1604663820,0,30,1,5,0,0,,,1604664000,1604664000,0,4
90,active,False,326,326,1,1,1604663632,0,23,1,10,1,8,,,1604664000,1604664000,0,1
91,active,True,327,327,1,1,1604663930,0,16,1,21,2,2,,,1604664000,1604664000,9,0
92,active,False,328,328,1,1,1604663956,0,31,1,4,3,0,,,1604664000,1604664000,0,2
93,active,False,330,330,1,1,1604663626,0,3,1,36,2,0,,,1604664000,1604664000,9,0
94,active,False,331,331,1,1,1604663776,0,20,1,4,0,3,,,1604664000,1604664000,0,1
95,active,False,332,332,1,1,1604662983,0,31,1,5,3,0,,,1604664000,1604664000,0,6
96,active,False,334,334,1,1,1604663447,0,9,1,22,0,0,,,1604664000,1604664000,0,0
97,active,False,335,335,1,1,1604663408,0,9,1,17,1,1,,,1604664000,1604664000,4,0
98,active,False,336,336,1,1,1604663785,0,33,1,3,0,0,,,1604664000,1604664000,0,3
99,active,False,340,340,1,1,1604663064,0,22,1,5,2,0,,,1604664000,1604664000,3,0
100,active,False,341,341,1,1,1604663338,0,4,1,15,2,0,,,1604664000,1604664000,6,0
101,active,False,342,342,1,1,1604663902,1,24,1,4,0,0,,,1604664000,1604664000,0,0
102,active,False,343,343,1,1,1604663745,0,10,1,13,3,0,,,1604664000,1604664000,1,0
103,active,False,344,344,1,1,1604644149,0,7,1,16,1,0,,,1604664000,1604664000,0,0
104,active,False,346,346,1,1,1604663273,0,18,1,9,1,0,,,1604664000,1604664000,0,3
105,active,False,347,347,1,1,1604663906,0,24,1,29,5,1,,,1604664000,1604664000,1,0
106,active,False,349,349,1,1,1604663279,0,7,1,53,0,1,,,1604664000,1604664000,0,2
107,active,False,350,350,1,1,1604663990,1,21,1,25,1,0,,,1604664000,1604664000,3,0
108,active,False,351,351,1,1,1604661855,0,36,1,3,3,0,,,1604664000,1604664000,0,0
109,active,False,353,353,1,1,1604659730,0,8,1,17,0,2,,,1604664000,1604664000,0,1
110,active,False,354,354,1,1,1604663294,0,19,1,28,2,0,,,1604664000,1604664000,0,3
111,active,False,355,355,1,1,1604659501,0,29,1,11,0,3,,,1604664000,1604664000,2,0
112,active,False,356,356,1,1,1604663407,0,20,1,3,0,0,,,1604664000,1604664000,0,1
113,active,False,358,358,1,1,1604663904,0,37,1,13,0,0,,,1604664000,1604664000,0,3
114,active,False,359,359,1,1,1604663903,0,11,1,67,0,0,,,1604664000,1604664000,28,0
115,active,False,360,360,1,1,1604663205,0,16,1,23,0,0,,,1604664000,1604664000,0,3
116,active,False,361,361,1,1,1604663202,0,26,1,52,0,1,,,1604664000,1604664000,4,0
117,active,False,362,362,1,1,1604663906,0,27,1,29,1,1,,,1604664000,1604664000,0,0
118,out_of_service,False,363,363,0,0,1604591481,0,0,0,1,0,0,,,1604664000,1604664000,0,0
