,num_bikes_available,num_bikes_disabled,num_docks_available,is_installed,last_reported,station_status,station_id,num_docks_disabled,is_returning,is_renting,eightd_has_available_keys,num_ebikes_available,legacy_id,valet,eightd_active_station_services,starttime,timestamp,demand,supply
0,26,0,29,1,1604678166,active,72,0,1,1,False,0,72,,,1604678405,1604678405,0.0,0.0
1,28,0,5,1,1604678326,active,79,0,1,1,False,1,79,,,1604678405,1604678405,0.0,0.0
2,10,0,17,1,1604676837,active,82,0,1,1,False,1,82,,,1604678405,1604678405,0.0,2.0
3,45,0,17,1,1604678201,active,83,0,1,1,False,0,83,,,1604678405,1604678405,5.0,0.0
4,0,0,0,0,86400,out_of_service,116,0,0,0,False,0,116,,,1604678405,1604678405,0.0,0.0
5,46,1,6,1,1604676670,active,119,0,1,1,False,0,119,,,1604678405,1604678405,0.0,1.0
6,3,0,16,1,1604676339,active,120,0,1,1,False,0,120,,,1604678405,1604678405,0.0,1.0
7,14,0,17,1,1604678173,active,127,0,1,1,False,0,127,,,1604678405,1604678405,0.0,3.0
8,16,5,35,1,1604678108,active,128,0,1,1,False,0,128,,,1604678405,1604678405,3.0,0.0
9,22,2,0,1,1604677936,active,143,0,1,1,False,1,143,,,1604678405,1604678405,0.0,2.0
10,46,0,12,1,1604678372,active,144,0,1,1,False,0,144,,,1604678405,1604678405,0.0,0.0
11,12,0,27,1,1604678218,active,146,0,1,1,False,1,146,,,1604678405,1604678405,0.0,0.0
12,15,0,40,1,1604678303,active,150,0,1,1,False,0,150,,,1604678405,1604678405,0.0,3.0
13,16,1,16,1,1604677908,active,151,0,1,1,True,4,151,,,1604678405,1604678405,14.0,0.0
14,24,0,25,1,1604678176,active,152,0,1,1,False,0,152,,,1604678405,1604678405,0.0,1.0
15,19,0,4,1,1604678368,active,157,0,1,1,False,2,157,,,1604678405,1604678405,0.0,1.0
16,17,1,17,1,1604678181,active,161,0,1,1,False,1,161,,,1604678405,1604678405,1.0,0.0
17,45,2,0,1,1604677889,active,164,0,1,1,False,0,164,,,1604678405,1604678405,0.0,0.0
18,20,1,26,1,1604678246,active,168,0,1,1,False,2,168,,,1604678405,1604678405,4.0,0.0
19,52,3,15,1,1604678085,active,173,0,1,1,False,0,173,,,1604678405,1604678405,0.0,1.0
20,33,2,0,1,1604676908,active,174,0,1,1,False,0,174,,,1604678405,1604678405,0.0,4.0
21,45,2,13,1,1604678137,active,212,0,1,1,False,2,212,,,1604678405,1604678405,3.0,0.0
22,6,0,31,1,1604677199,active,216,0,1,1,False,0,216,,,1604678405,1604678405,0.0,6.0
23,37,0,2,1,1604677754,active,217,0,1,1,False,2,217,,,1604678405,1604678405,0.0,2.0
24,13,0,20,1,1604678344,active,223,0,1,1,False,1,223,,,1604678405,1604678405,0.0,0.0
25,5,0,25,1,1604677050,active,224,0,1,1,True,1,224,,,1604678405,1604678405,0.0,0.0
26,39,1,15,1,1604677918,active,228,0,1,1,False,5,228,,,1604678405,1604678405,7.0,0.0
27,15,3,5,1,1604678305,active,229,0,1,1,False,0,229,,,1604678405,1604678405,0.0,0.0
28,20,0,27,1,1604678387,active,236,0,1,1,False,0,236,,,1604678405,1604678405,3.0,0.0
29,14,0,25,1,1604678396,active,237,0,1,1,False,0,237,,,1604678405,1604678405,1.0,0.0
30,16,0,15,1,1604678308,active,238,0,1,1,False,0,238,,,1604678405,1604678405,0.0,2.0
31,19,1,11,1,1604676326,active,239,0,1,1,False,0,239,,,1604678405,1604678405,0.0,4.0
32,20,2,1,1,1604678372,active,241,0,1,1,False,0,241,,,1604678405,1604678405,0.0,1.0
33,45,0,1,1,1604678153,active,242,0,1,1,False,2,242,,,1604678405,1604678405,0.0,0.0
34,3,0,28,1,1604675828,active,244,0,1,1,False,0,244,,,1604678405,1604678405,1.0,0.0
35,1,0,22,1,1604678102,active,245,0,1,1,False,0,245,,,1604678405,1604678405,0.0,1.0
36,34,0,21,1,1604678339,active,247,0,1,1,False,1,247,,,1604678405,1604678405,0.0,4.0
37,49,2,48,1,1604678385,active,248,0,1,1,False,1,248,,,1604678405,1604678405,1.0,0.0
38,6,0,21,1,1604678112,active,249,0,1,1,False,1,249,,,1604678405,1604678405,0.0,2.0
39,23,0,17,1,1604678333,active,250,0,1,1,False,2,250,,,1604678405,1604678405,7.0,0.0
40,7,5,15,1,1604678285,active,251,0,1,1,False,2,251,,,1604678405,1604678405,0.0,0.0
41,11,0,22,1,1604678217,active,252,0,1,1,False,0,252,,,1604678405,1604678405,0.0,2.0
42,14,1,31,1,1604678089,active,254,1,1,1,False,0,254,,,1604678405,1604678405,6.0,0.0
43,35,0,4,1,1604678001,active,257,0,1,1,False,6,257,,,1604678405,1604678405,0.0,1.0
44,8,1,14,1,1604677804,active,258,0,1,1,False,1,258,,,1604678405,1604678405,0.0,1.0
45,37,1,1,1,1604678214,active,259,0,1,1,False,2,259,,,1604678405,1604678405,1.0,0.0
46,31,0,2,1,1604678054,active,260,0,1,1,False,2,260,,,1604678405,1604678405,0.0,0.0
47,14,0,27,1,1604677606,active,261,0,1,1,False,1,261,,,1604678405,1604678405,1.0,0.0
48,4,2,18,1,1604676869,active,262,0,1,1,False,0,262,,,1604678405,1604678405,2.0,0.0
49,22,0,5,1,1604677424,active,264,0,1,1,False,1,264,,,1604678405,1604678405,1.0,0.0
50,21,1,13,1,1604678096,active,265,0,1,1,False,0,265,,,1604678405,1604678405,3.0,0.0
51,16,2,52,1,1604678390,active,267,0,1,1,False,2,267,,,1604678405,1604678405,0.0,0.0
52,15,0,12,1,1604678267,active,268,0,1,1,False,5,268,,,1604678405,1604678405,0.0,1.0
53,0,0,23,1,1604671651,active,270,0,1,1,False,0,270,,,1604678405,1604678405,1.0,0.0
54,15,1,15,1,1604678353,active,274,0,1,1,False,0,274,,,1604678405,1604678405,0.0,5.0
55,2,1,16,1,1604677182,active,275,0,1,1,False,0,275,,,1604678405,1604678405,0.0,2.0
56,13,0,12,1,1604678130,active,276,0,1,1,False,1,276,,,1604678405,1604678405,0.0,3.0
57,6,1,12,1,1604668888,active,278,0,1,1,False,2,278,,,1604678405,1604678405,0.0,0.0
58,0,0,0,0,86400,out_of_service,280,0,0,0,False,0,280,,,1604678405,1604678405,0.0,0.0
59,59,2,5,1,1604678284,active,281,0,1,1,True,14,281,,,1604678405,1604678405,0.0,5.0
60,9,2,16,1,1604678361,active,282,0,1,1,False,0,282,,,1604678405,1604678405,0.0,0.0
61,34,1,16,1,1604678103,active,284,0,1,1,False,1,284,,,1604678405,1604678405,0.0,3.0
62,28,2,23,1,1604678336,active,285,0,1,1,True,0,285,,,1604678405,1604678405,6.0,0.0
63,2,0,17,1,1604677699,active,289,0,1,1,False,0,289,,,1604678405,1604678405,0.0,1.0
64,13,0,7,1,1604677757,active,291,0,1,1,False,0,291,,,1604678405,1604678405,0.0,2.0
