,legacy_id,num_ebikes_available,station_status,eightd_has_available_keys,num_docks_available,num_bikes_available,num_bikes_disabled,is_renting,last_reported,is_installed,num_docks_disabled,is_returning,station_id,starttime,timestamp,demand,supply
0,72,2,active,False,20,31,4,1,1604919570,1,0,1,72,1604919605,1604919605,0,4
1,79,0,active,False,5,27,1,1,1604919354,1,0,1,79,1604919605,1604919605,0,0
2,82,0,active,False,0,27,0,1,1604903531,1,0,1,82,1604919605,1604919605,0,1
3,83,3,active,False,52,10,0,1,1604910183,1,0,1,83,1604919605,1604919605,1,0
4,116,0,out_of_service,False,0,0,0,0,86400,0,0,0,116,1604919605,1604919605,0,0
5,119,2,active,False,10,43,0,1,1604917873,1,0,1,119,1604919605,1604919605,1,0
6,120,2,active,False,6,11,2,1,1604902326,1,0,1,120,1604919605,1604919605,0,1
7,127,1,active,False,10,20,1,1,1604918345,1,0,1,127,1604919605,1604919605,0,4
8,128,0,active,False,34,21,1,1,1604919355,1,0,1,128,1604919605,1604919605,1,0
9,143,1,active,False,14,10,0,1,1604902326,1,0,1,143,1604919605,1604919605,1,0
10,144,2,active,False,10,47,1,1,1604911972,1,0,1,144,1604919605,1604919605,0,0
11,146,1,active,False,1,38,0,1,1604916702,1,0,1,146,1604919605,1604919605,0,0
12,150,10,active,False,2,53,0,1,1604919183,1,0,1,150,1604919605,1604919605,0,1
13,151,0,active,True,11,21,1,1,1604919240,1,0,1,151,1604919605,1604919605,0,1
14,152,0,active,False,31,18,0,1,1604915584,1,0,1,152,1604919605,1604919605,0,0
15,157,2,active,False,13,9,1,1,1604918291,1,0,1,157,1604919605,1604919605,0,0
16,161,0,active,False,26,4,5,1,1604918078,1,0,1,161,1604919605,1604919605,18,0
17,164,0,active,False,32,15,0,1,1604919187,1,0,1,164,1604919605,1604919605,0,1
18,168,0,active,False,16,31,0,1,1604919513,1,0,1,168,1604919605,1604919605,0,1
19,173,1,active,False,57,9,4,1,1604919283,1,0,1,173,1604919605,1604919605,9,0
20,174,2,active,False,9,18,3,1,1604919178,1,0,1,174,1604919605,1604919605,2,0
21,212,0,active,False,4,53,3,1,1604919344,1,0,1,212,1604919605,1604919605,2,0
22,216,0,active,False,21,16,0,1,1604902327,1,0,1,216,1604919605,1604919605,0,0
23,217,1,active,False,17,17,5,1,1604908605,1,0,1,217,1604919605,1604919605,1,0
24,223,0,active,False,3,30,0,1,1604919356,1,0,1,223,1604919605,1604919605,0,1
25,224,2,active,True,20,9,1,1,1604902617,1,0,1,224,1604919605,1604919605,0,0
26,228,1,active,False,53,2,0,1,1604919240,1,0,1,228,1604919605,1604919605,1,0
27,229,2,active,False,6,15,2,1,1604919185,1,0,1,229,1604919605,1604919605,3,0
28,236,0,active,False,12,33,2,1,1604915678,1,0,1,236,1604919605,1604919605,0,1
29,237,1,active,False,10,27,2,1,1604910001,1,0,1,237,1604919605,1604919605,0,2
30,238,1,active,False,4,26,1,1,1604919332,1,0,1,238,1604919605,1604919605,0,3
31,239,2,active,False,25,4,2,1,1604919431,1,0,1,239,1604919605,1604919605,1,0
32,241,1,active,False,18,2,3,1,1604918589,1,0,1,241,1604919605,1604919605,3,0
33,242,0,active,False,11,35,0,1,1604903644,1,0,1,242,1604919605,1604919605,0,0
34,244,3,active,False,15,15,1,1,1604917598,1,0,1,244,1604919605,1604919605,0,0
35,245,0,active,False,2,20,1,1,1604918736,1,0,1,245,1604919605,1604919605,0,0
36,247,0,active,False,0,55,0,1,1604910765,1,0,1,247,1604919605,1604919605,0,3
37,248,0,active,False,3,95,1,1,1604917086,1,0,1,248,1604919605,1604919605,1,0
38,249,0,active,False,0,27,0,1,1604904739,1,0,1,249,1604919605,1604919605,0,2
39,250,0,active,False,11,28,1,1,1604919089,1,0,1,250,1604919605,1604919605,2,0
