,num_ebikes_available,num_bikes_disabled,station_status,num_bikes_available,station_id,is_renting,eightd_has_available_keys,num_docks_available,is_installed,last_reported,is_returning,legacy_id,num_docks_disabled,eightd_active_station_services,valet,starttime,timestamp,demand,supply
0,0,1,active,28,72,1,False,26,1,1604641181,1,72,0,,,1604642395,1604642395,1,0
1,0,1,active,13,79,1,False,19,1,1604640176,1,79,0,,,1604642395,1604642395,0,0
2,1,0,active,10,82,1,False,17,1,1604637772,1,82,0,,,1604642395,1604642395,0,0
3,0,0,active,40,83,1,False,22,1,1604641121,1,83,0,,,1604642395,1604642395,1,0
4,0,0,out_of_service,0,116,0,False,0,0,86400,0,116,0,,,1604642395,1604642395,0,0
5,1,1,active,51,119,1,False,1,1,1604640497,1,119,0,,,1604642395,1604642395,0,1
6,0,0,active,5,120,1,False,14,1,1604641747,1,120,0,,,1604642395,1604642395,0,0
7,0,2,active,27,127,1,False,2,1,1604642305,1,127,0,,,1604642395,1604642395,2,0
8,0,1,active,45,128,1,False,10,1,1604641398,1,128,0,,,1604642395,1604642395,0,0
9,2,0,active,15,143,1,False,9,1,1604639302,1,143,0,,,1604642395,1604642395,0,0
10,0,0,active,43,144,1,False,15,1,1604640097,1,144,0,,,1604642395,1604642395,0,0
11,0,1,active,20,146,1,False,18,1,1604635756,1,146,0,,,1604642395,1604642395,0,0
12,2,0,active,22,150,1,False,33,1,1604641656,1,150,0,,,1604642395,1604642395,0,0
13,1,1,active,28,151,1,True,4,1,1604641472,1,151,0,,,1604642395,1604642395,0,0
14,0,0,active,24,152,1,False,25,1,1604640166,1,152,0,,,1604642395,1604642395,0,0
15,1,0,active,22,157,1,False,1,1,1604637254,1,157,0,,,1604642395,1604642395,0,1
16,0,1,active,14,161,1,False,20,1,1604640976,1,161,0,,,1604642395,1604642395,1,0
17,4,0,active,47,164,0,False,0,1,1604631754,0,164,0,,,1604642395,1604642395,0,1
18,0,2,active,10,168,1,False,35,1,1604640876,1,168,0,,,1604642395,1604642395,0,1
19,0,1,active,1,173,1,False,68,1,1604641760,1,173,0,,,1604642395,1604642395,2,0
20,2,2,active,14,174,1,False,19,1,1604638567,1,174,0,,,1604642395,1604642395,0,0
21,0,1,active,30,212,1,False,29,1,1604640869,1,212,0,,,1604642395,1604642395,0,0
22,0,1,active,10,216,1,False,26,1,1604633576,1,216,0,,,1604642395,1604642395,0,0
23,0,1,active,28,217,1,False,10,1,1604637226,1,217,0,,,1604642395,1604642395,0,0
24,0,0,active,20,223,1,False,13,1,1604641717,1,223,0,,,1604642395,1604642395,0,0
25,0,0,active,2,224,1,True,28,1,1604639463,1,224,0,,,1604642395,1604642395,0,0
26,1,0,active,10,228,1,False,45,1,1604638302,1,228,0,,,1604642395,1604642395,1,0
27,0,3,active,2,229,1,False,18,1,1604641926,1,229,0,,,1604642395,1604642395,0,1
28,2,1,active,44,236,1,False,2,1,1604641771,1,236,0,,,1604642395,1604642395,0,0
29,0,0,active,25,237,1,False,14,1,1604639732,1,237,0,,,1604642395,1604642395,0,0
30,0,4,active,25,238,1,False,2,1,1604641952,1,238,0,,,1604642395,1604642395,0,0
31,0,2,active,17,239,1,False,12,1,1604642010,1,239,0,,,1604642395,1604642395,1,0
32,0,4,active,12,241,1,False,7,1,1604642172,1,241,0,,,1604642395,1604642395,0,0
33,1,0,active,33,242,1,False,13,1,1604641797,1,242,0,,,1604642395,1604642395,0,0
34,0,0,active,8,244,1,False,23,1,1604636660,1,244,0,,,1604642395,1604642395,0,0
35,1,1,active,2,245,1,False,20,1,1604634984,1,245,0,,,1604642395,1604642395,0,0
36,0,1,active,48,247,1,False,6,1,1604637353,1,247,0,,,1604642395,1604642395,0,0
37,0,1,active,47,248,1,False,51,1,1604633571,1,248,0,,,1604642395,1604642395,1,0
38,0,0,active,7,249,1,False,20,1,1604639261,1,249,0,,,1604642395,1604642395,0,1
39,2,0,active,18,250,1,False,22,1,1604641318,1,250,0,,,1604642395,1604642395,0,1
40,0,3,active,19,251,1,False,5,1,1604639361,1,251,0,,,1604642395,1604642395,2,0
41,0,0,active,25,252,1,False,8,1,1604641590,1,252,0,,,1604642395,1604642395,0,0
42,0,2,active,23,254,1,False,21,1,1604639928,1,254,1,,,1604642395,1604642395,0,2
43,0,0,active,8,257,1,False,31,1,1604638019,1,257,0,,,1604642395,1604642395,0,1
44,0,1,active,16,258,1,False,6,1,1604642128,1,258,0,,,1604642395,1604642395,0,0
45,3,1,active,33,259,1,False,5,1,1604640552,1,259,0,,,1604642395,1604642395,0,1
46,0,0,active,16,260,1,False,17,1,1604639334,1,260,0,,,1604642395,1604642395,0,0
47,0,0,active,10,261,1,False,31,1,1604641641,1,261,0,,,1604642395,1604642395,1,0
48,1,2,active,12,262,1,False,10,1,1604639245,1,262,0,,,1604642395,1604642395,0,0
49,5,0,active,17,264,1,False,10,1,1604642230,1,264,0,,,1604642395,1604642395,0,0
50,0,2,active,27,265,1,False,6,1,1604641034,1,265,0,,,1604642395,1604642395,0,0
51,0,4,active,9,267,1,False,57,1,1604641151,1,267,0,,,1604642395,1604642395,0,1
52,2,1,active,2,268,1,False,24,1,1604642024,1,268,0,,,1604642395,1604642395,0,2
53,0,0,active,6,270,1,False,17,1,1604641527,1,270,0,,,1604642395,1604642395,0,0
54,4,0,active,19,274,1,False,12,1,1604640016,1,274,0,,,1604642395,1604642395,0,0
55,0,2,active,5,275,1,False,12,1,1604639410,1,275,0,,,1604642395,1604642395,0,0
56,0,0,active,13,276,1,False,12,1,1604642292,1,276,0,,,1604642395,1604642395,0,0
57,1,1,active,5,278,1,False,13,1,1604642052,1,278,0,,,1604642395,1604642395,0,0
58,0,0,out_of_service,0,280,0,False,0,0,86400,0,280,0,,,1604642395,1604642395,0,0
59,3,0,active,9,281,1,True,57,1,1604638740,1,281,0,,,1604642395,1604642395,1,0
60,2,3,active,19,282,1,False,5,1,1604641053,1,282,0,,,1604642395,1604642395,1,0
61,0,0,active,30,284,1,False,21,1,1604640800,1,284,0,,,1604642395,1604642395,0,1
62,0,1,active,6,285,1,True,46,1,1604642385,1,285,0,,,1604642395,1604642395,2,0
